movie_id,cast_id
1,1
2,2
2,3
2,4
2,5
2,12009
2,6
2,7
2,8
2,9
2,10
2,11
2,12616
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,51068
3,21
3,20706
3,25535
3,22
3,23
3,28536
3,30424
3,24
3,25
3,20709
3,26
3,45892
3,27
3,28
3,29
3,26377
4,1
5,30
5,28506
5,44492
5,61737
5,31
5,18282
5,32
5,33
5,18286
5,34
5,26705
5,35
5,63083
5,36
5,37
5,51672
6,38
6,33837
6,42439
6,39
6,2676
6,10438
6,40
6,30007
6,55146
6,41
6,1080
6,10504
6,14770
6,33834
6,38635
6,49156
6,42
6,22200
6,43
6,42441
6,44
6,45
6,14773
6,27626
6,36721
6,46
6,47
6,5093
6,11582
6,18030
6,28970
6,37547
6,37792
6,48
6,11176
6,49
6,50
6,51
6,37507
6,42440
6,54461
6,59061
6,52
6,53
7,54
7,11489
7,13170
7,13281
7,25211
7,32945
7,57944
7,59686
7,55
7,2952
7,14185
7,57925
7,56
7,2083
7,8983
7,12195
7,16295
7,19863
7,23293
7,46495
7,47539
7,49809
7,58356
7,58956
7,59306
7,57
7,18300
7,40889
7,58
7,16971
7,59
7,6715
7,11237
7,14179
7,17050
7,21056
7,31176
7,42786
7,49609
7,57010
7,59761
7,62107
7,60
7,23298
7,43362
7,59613
7,62620
7,61
7,1370
7,2545
7,18849
7,19796
7,20634
7,35120
7,36016
7,46870
7,54927
7,59625
7,62
7,6662
7,22653
7,52633
7,63
7,3261
7,22627
7,32841
7,42218
7,42555
8,64
8,65
8,66
8,67
8,68
8,69
8,70
8,71
9,72
9,33465
9,73
9,33466
9,47354
9,74
9,33464
9,59807
9,75
9,12643
9,33463
9,38649
9,59808
10,76
10,4958
10,8449
10,8773
10,12846
10,41680
10,77
10,4219
10,37299
10,39401
10,39425
10,42006
10,47749
10,49271
10,53783
10,61071
10,78
10,4751
10,47504
10,60720
10,62819
10,79
10,4738
10,11780
10,13879
10,30151
10,57141
10,80
10,4399
10,10385
10,25519
10,31385
10,40882
10,81
10,16006
10,30153
10,39250
10,46916
10,82
10,20054
10,83
10,5069
10,84
10,85
10,1836
10,6476
10,16874
10,24460
10,30073
10,34804
10,39172
10,47546
10,48835
10,51463
10,51924
10,86
11,1
12,87
12,88
12,63095
12,63101
12,89
12,90
12,10057
12,14303
12,28260
12,36003
12,52269
12,54913
12,57647
12,91
12,92
12,93
12,94
12,8037
12,17218
12,95
12,96
12,97
12,98
12,99
12,100
12,101
12,102
12,103
12,104
12,105
12,106
12,107
12,108
12,109
12,110
12,111
13,112
13,3783
13,113
13,114
13,28710
13,40422
13,115
13,116
13,40188
13,117
13,118
13,119
13,120
13,21484
13,121
13,122
14,123
14,124
14,125
14,126
14,127
14,28556
14,128
14,129
14,130
14,131
14,132
15,1
16,133
16,28998
16,46088
16,134
16,30175
16,135
16,40753
16,136
16,137
16,61413
16,138
16,139
16,37423
16,140
16,1091
16,22657
16,23999
16,39769
16,40509
16,42895
16,57101
16,61112
17,1
18,141
18,15792
18,34979
18,34984
18,46322
18,142
18,8165
18,25550
18,53664
18,143
18,32693
18,144
18,11531
18,145
18,146
18,147
18,148
18,149
18,11541
18,150
18,47997
18,151
18,32891
18,47341
18,152
19,153
19,13095
19,17817
19,20871
19,32451
19,50925
19,154
19,2064
19,13885
19,33108
19,40380
19,46147
19,60098
19,155
19,49560
19,156
19,157
19,158
19,159
19,6417
19,46060
19,160
19,161
19,162
20,163
20,17913
20,29407
20,38707
20,42115
20,48135
20,54787
20,164
20,27416
20,165
20,6163
20,166
20,21974
20,22116
20,31179
20,35638
20,36328
20,167
20,24626
20,28086
20,168
20,30967
20,169
20,170
21,1
22,171
22,9676
22,9682
22,44007
22,172
22,173
22,174
22,175
22,176
22,177
22,178
22,179
22,180
23,181
23,56774
23,182
23,183
23,184
23,185
23,194
23,199
23,27123
23,30222
23,33604
23,39207
23,51601
23,186
23,200
24,187
24,2015
24,12918
24,14908
24,17025
24,20041
24,188
24,2014
24,12920
24,14911
24,17023
24,20044
24,189
24,2016
24,12919
24,14910
24,17024
24,20042
24,190
25,191
25,192
25,19814
25,29806
25,34217
25,35334
25,37060
25,49829
25,52172
25,58447
25,193
25,16386
25,185
25,194
25,199
25,27123
25,30222
25,33604
25,39207
25,51601
26,195
26,18144
27,196
27,2009
27,2373
27,47513
27,197
27,11265
27,21156
27,21178
27,34511
27,41042
27,198
27,33179
27,33187
27,43929
27,185
27,194
27,199
