movie_id,country_id
1,1
2,2
3,3
4,3
5,4
6,3
7,3
8,1
8,5
8,6
8,7
8,8
8,9
9,7
10,1
11,3
12,3
13,8
13,10
14,3
15,3
16,1
17,3
18,11
19,3
20,3
21,3
22,12
23,3
24,3
25,4
26,13
27,3
28,1
29,1
30,1
30,4
30,14
31,3
32,3
33,7
34,3
35,3
36,3
37,3
38,15
39,16
39,17
39,1
40,4
41,1
42,1
43,1
44,1
45,1
46,3
47,2
47,1
47,18
48,3
49,1
50,19
51,4
52,18
53,18
54,18
55,18
56,1
57,18
58,18
59,18
60,18
61,18
62,18
63,18
64,18
65,3
66,7
67,4
68,1
69,3
70,4
71,3
72,3
73,7
74,19
75,3
76,3
77,18
78,3
79,3
80,3
81,3
82,1
83,1
84,3
85,19
86,3
87,3
88,3
89,3
90,3
91,20
91,1
92,14
93,21
94,3
95,7
95,1
96,1
96,7
97,1
98,1
99,7
100,14
100,1
101,3
102,1
103,3
104,3
105,22
106,4
107,1
108,1
109,13
110,20
111,3
112,1
112,23
113,3
114,3
115,4
116,7
116,13
116,14
117,4
118,7
118,1
119,4
120,3
121,13
122,3
123,7
123,13
123,14
123,1
124,3
125,22
126,1
127,4
128,1
128,17
129,3
130,8
130,1
131,3
132,1
133,3
134,2
134,1
135,1
135,11
136,1
136,24
136,14
136,18
137,1
137,24
137,25
137,7
138,13
138,1
139,1
140,1
141,26
141,27
142,1
142,7
142,17
143,8
143,1
144,1
145,1
146,1
147,1
148,3
149,3
150,1
151,1
152,16
152,28
153,1
154,29
155,18
156,7
156,1
157,1
158,17
159,1
160,28
161,1
162,1
163,1
163,16
163,28
164,1
165,1
166,3
167,24
167,1
168,1
168,17
169,1
170,1
171,1
172,1
173,1
173,8
174,1
175,1
176,1
177,1
178,7
178,1
179,1
180,1
181,3
182,3
183,1
184,1
185,1
186,3
187,3
188,3
189,14
190,3
191,4
192,7
192,17
192,1
193,4
194,30
194,22
195,3
196,4
197,3
198,3
199,19
200,4
201,4
202,4
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,4
212,4
213,31
214,3
215,3
216,4
217,4
218,4
219,3
220,18
221,1
222,3
223,3
224,3
225,3
226,3
227,3
228,1
229,1
229,7
230,1
231,3
232,1
233,1
234,7
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,1
243,3
244,3
245,3
246,3
247,3
248,1
249,3
250,3
251,3
252,1
253,3
254,4
255,1
256,3
257,3
258,3
259,3
260,4
260,32
261,3
262,3
263,3
264,1
265,1
266,18
267,4
268,33
268,13
268,14
268,1
269,3
270,24
271,24
271,34
271,35
272,1
273,1
274,14
275,1
276,26
277,20
278,36
279,37
280,1
280,18
281,1
282,19
283,11
284,21
284,7
285,7
285,1
286,38
286,7
286,13
287,1
288,3
289,37
290,22
291,1
292,18
293,7
294,2
295,3
296,1
297,39
297,1
298,4
299,19
300,14
301,17
301,1
302,4
303,34
304,26
305,7
306,26
306,20
307,19
308,1
309,1
310,3
311,1
312,11
313,1
314,40
315,1
316,1
316,19
317,40
318,1
319,3
320,40
321,3
322,40
323,40
324,1
325,24
326,1
327,1
328,1
328,7
329,41
329,1
330,1
330,17
331,1
331,17
332,3
333,1
333,11
334,1
335,1
336,1
337,3
338,1
338,17
339,18
340,3
341,1
341,7
342,1
343,1
344,1
345,1
346,1
346,17
347,1
348,20
348,7
348,1
349,7
349,1
350,1
351,1
352,1
352,8
353,1
353,16
354,1
355,1
356,1
357,1
357,14
358,20
358,14
358,7
358,1
359,1
360,1
361,1
362,1
363,3
364,3
365,3
366,30
366,14
366,42
367,7
368,3
369,3
370,3
371,1
372,3
373,3
374,3
375,19
376,3
377,3
378,43
379,1
380,3
381,1
382,3
383,1
384,4
385,3
386,8
387,1
387,17
388,3
389,3
390,14
390,39
390,8
390,1
390,7
391,1
392,17
392,1
393,1
394,13
395,3
396,3
397,3
398,3
399,3
400,3
401,3
402,20
403,7
404,1
405,3
406,3
407,3
408,3
409,3
410,3
411,4
412,3
413,3
414,3
415,3
416,4
417,3
418,3
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,1
427,33
428,3
429,3
430,19
431,3
432,3
433,3
434,1
435,26
436,3
437,44
438,1
439,3
440,45
441,1
442,3
443,1
443,17
444,3
445,3
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,46
454,18
455,3
456,3
457,22
458,47
458,48
458,8
459,3
460,1
461,1
461,17
462,3
463,1
464,24
465,3
466,3
467,3
468,3
469,3
470,1
